date_GMT,status,home_team_name,away_team_name,referee,home_team_goal_count,away_team_goal_count,total_goal_count,stadium_name
Feb 09 2019 - 12:30pm,complete,Fulham,Manchester United,Paul Tierney,0,3,3,Craven Cottage (London)
Feb 09 2019 - 3:00pm,complete,Crystal Palace,West Ham United,Craig Pawson,1,1,2,Selhurst Park (London)
Feb 09 2019 - 3:00pm,complete,Huddersfield Town,Arsenal,Jonathan Moss,1,2,3,John Smith's Stadium (Huddersfield- West Yorkshire)
Feb 09 2019 - 3:00pm,complete,Liverpool,AFC Bournemouth,Anthony Taylor,3,0,3,Anfield (Liverpool)
Feb 09 2019 - 3:00pm,complete,Southampton,Cardiff City,Martin Atkinson,1,2,3,St. Mary's Stadium (Southampton- Hampshire)
Feb 09 2019 - 3:00pm,complete,Watford,Everton,Lee Probert,1,0,1,Vicarage Road (Watford)
Feb 09 2019 - 5:30pm,complete,Brighton & Hove Albion,Burnley,Stuart Attwell,1,3,4,The American Express Community Stadium (Falmer- East Sussex)
Feb 10 2019 - 1:30pm,complete,Tottenham Hotspur,Leicester City,Michael Oliver,3,1,4,Wembley Stadium (London)
Feb 10 2019 - 4:00pm,complete,Manchester City,Chelsea,Mike Dean,6,0,6,Etihad Stadium (Manchester)
Feb 11 2019 - 8:00pm,complete,Wolverhampton Wanderers,Newcastle United,Graham Scott,1,1,2,Molineux Stadium (Wolverhampton- West Midlands)
Feb 22 2019 - 7:45pm,complete,Cardiff City,Watford,Simon Hooper,1,5,6,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 22 2019 - 7:45pm,complete,West Ham United,Fulham,Lee Mason,3,1,4,London Stadium (London)
Feb 23 2019 - 12:30pm,complete,Burnley,Tottenham Hotspur,Mike Dean,2,1,3,Turf Moor (Burnley)
Feb 23 2019 - 3:00pm,complete,AFC Bournemouth,Wolverhampton Wanderers,Roger East,1,1,2,Vitality Stadium (Bournemouth- Dorset)
Feb 23 2019 - 3:00pm,complete,Newcastle United,Huddersfield Town,Kevin Friend,2,0,2,St. James' Park (Newcastle upon Tyne)
Feb 23 2019 - 5:30pm,complete,Leicester City,Crystal Palace,Anthony Taylor,1,4,5,King Power Stadium (Leicester- Leicestershire)
Feb 24 2019 - 2:05pm,complete,Arsenal,Southampton,Graham Scott,2,0,2,Emirates Stadium (London)
Feb 24 2019 - 2:05pm,complete,Manchester United,Liverpool,Michael Oliver,0,0,0,Old Trafford (Manchester)
Feb 26 2019 - 7:45pm,complete,Cardiff City,Everton,Kevin Friend,0,3,3,Cardiff City Stadium (Cardiff (Caerdydd))
Feb 26 2019 - 7:45pm,complete,Huddersfield Town,Wolverhampton Wanderers,David Coote,1,0,1,John Smith's Stadium (Huddersfield- West Yorkshire)
